id,name,code,active,created_by,created_date,last_modified_by,last_modified_date
129,GİNE,"",true,,,,
130,MALTA,"",true,,,,
131,KUZEY KORE,"",true,,,,
132,MOZAMBİK,"",true,,,,
133,BRUNEİ,"",true,,,,
134,NİJER,"",true,,,,
135,SURİYE,"",true,,,,
136,JAMAİKA,"",true,,,,
137,MOĞOLİSTAN,"",true,,,,
138,MADAGASKAR,"",true,,,,
139,KUZEY MAKEDONYA,"",true,,,,
140,ERMENİSTAN,"",true,,,,
141,NİKARAGUA,"",true,,,,
142,KONGO CUMHURİYETİ,"",true,,,,
143,EKVATOR GİNESİ,"",true,,,,
144,MOLDOVA,"",true,,,,
145,ÇAD,"",true,,,,
146,NAMİBYA,"",true,,,,
147,MALAVİ,"",true,,,,
148,MAURİTİUS,"",true,,,,
149,BAHAMALAR,"",true,,,,
150,RUANDA,"",true,,,,
151,YENİ KALEDONYA,"",true,,,,
152,MORİTANYA,"",true,,,,
153,KOSOVA,"",true,,,,
154,TOGO,"",true,,,,
155,KIRGIZİSTAN,"",true,,,,
156,TACİKİSTAN,"",true,,,,
157,BERMUDA,"",true,,,,
158,GUYANA,"",true,,,,
159,LİHTENŞTAYN,"",true,,,,
160,MONAKO,"",true,,,,
161,CAYMAN ADALARI,"",true,,,,
162,GUAM,"",true,,,,
163,FRANSIZ POLİNEZYASI,"",true,,,,
164,KARADAĞ,"",true,,,,
165,SOMALİ,"",true,,,,
166,BARBADOS,"",true,,,,
167,FİJİ,"",true,,,,
168,MALDİVLER,"",true,,,,
169,ESVATİNİ,"",true,,,,
170,SİERRA LEONE,"",true,,,,
171,CİBUTİ,"",true,,,,
172,LİBERYA,"",true,,,,
173,GÜNEY SUDAN,"",true,,,,
174,ANDORRA,"",true,,,,
175,BURUNDİ,"",true,,,,
176,GRÖNLAND,"",true,,,,
177,ARUBA,"",true,,,,
178,SURİNAM,"",true,,,,
179,CURAÇAO,"",true,,,,
180,ORTA AFRİKA CUMHURİYETİ,"",true,,,,
181,BHUTAN,"",true,,,,
182,LESOTHO,"",true,,,,
183,ERİTRE,"",true,,,,
184,GAMBİYA,"",true,,,,
185,BELİZE,"",true,,,,
186,YEŞİL BURUN ADALARI,"",true,,,,
187,SAN MARİNO,"",true,,,,
188,ZANZİBAR ZANZİBAR,"",true,,,,
189,SAİNT LUCİA,"",true,,,,
190,DOĞU TİMOR,"",true,,,,
191,SOLOMON ADALARI,"",true,,,,
192,GİNE-BİSSAU,"",true,,,,
1,ABD,"",true,,,,
2,ÇİN,"",true,,,,
3,JAPONYA,"",true,,,,
4,ALMANYA,"",true,,,,
5,BİRLEŞİK KRALLIK,"",true,,,,
7,HİNDİSTAN,"",true,,,,
8,FRANSA,"",true,,,,
9,İTALYA,"",true,,,,
10,KANADA,"",true,,,,
11,GÜNEY KORE,"",true,,,,
12,RUSYA,"",true,,,,
13,BREZİLYA,"",true,,,,
14,AVUSTRALYA,"",true,,,,
15,İSPANYA,"",true,,,,
16,MEKSİKA,"",true,,,,
17,ENDONEZYA,"",true,,,,
18,TÜRK DEVLETLERİ TEŞKİLATI,"",true,,,,
19,İRAN,"",true,,,,
20,HOLLANDA,"",true,,,,
21,SUUDİ ARABİSTAN,"",true,,,,
22,İSVİÇRE,"",true,,,,
23,TÜRKİYE,"",true,,,,
24,TAYVAN,"",true,,,,
25,POLONYA,"",true,,,,
26,İSVEÇ,"",true,,,,
27,BELÇİKA,"",true,,,,
28,TAYLAND,"",true,,,,
29,İRLANDA,"",true,,,,
30,AVUSTURYA,"",true,,,,
31,NİJERYA,"",true,,,,
32,İSRAİL,"",true,,,,
33,ARJANTİN,"",true,,,,
34,NORVEÇ,"",true,,,,
35,GÜNEY AFRİKA,"",true,,,,
36,BİRLEŞİK ARAP EMİRLİKLERİ,"",true,,,,
37,DANİMARKA,"",true,,,,
38,MISIR,"",true,,,,
39,FİLİPİNLER,"",true,,,,
40,SİNGAPUR,"",true,,,,
41,MALEZYA,"",true,,,,
42,HONG KONG,"",true,,,,
43,VİETNAM,"",true,,,,
44,BANGLADEŞ,"",true,,,,
45,ŞİLİ,"",true,,,,
46,KOLOMBİYA,"",true,,,,
47,FİNLANDİYA,"",true,,,,
48,ROMANYA,"",true,,,,
49,PAKİSTAN,"",true,,,,
50,ÇEK CUMHURİYETİ,"",true,,,,
51,PORTEKİZ,"",true,,,,
52,YENİ ZELANDA,"",true,,,,
53,PERU,"",true,,,,
54,YUNANİSTAN,"",true,,,,
55,İRAK,"",true,,,,
56,KAZAKİSTAN,"",true,,,,
193,BRİTANYA VİRJİN ADALARI,"",true,,,,
194,ANTİGUA VE BARBUDA,"",true,,,,
195,SEYŞELLER,"",true,,,,
196,KOMORLAR,"",true,,,,
197,KUZEY MARİANA ADALARI,"",true,,,,
198,GRENADA,"",true,,,,
199,VANUATU,"",true,,,,
200,SAİNT KİTTS VE NEVİS,"",true,,,,
201,TURKS VE CAİCOS ADALARI,"",true,,,,
202,SİNT MAARTEN,"",true,,,,
203,SAMOA,"",true,,,,
204,SAİNT VİNCENT VE GRENADİNLER,"",true,,,,
205,AMERİKAN SAMOASI,"",true,,,,
86,SIRBİSTAN,"",true,,,,
87,PANAMA,"",true,,,,
88,URUGUAY,"",true,,,,
89,KONGO DC,"",true,,,,
90,TÜRKMENİSTAN,"",true,,,,
91,AZERBAYCAN,"",true,,,,
92,ÜRDÜN,"",true,,,,
93,VENEZUELA,"",true,,,,
94,KAMERUN,"",true,,,,
206,DOMİNİKA,"",true,,,,
207,SÃO TOMÉ VE PRÍNCİPE,"",true,,,,
208,TONGA,"",true,,,,
209,MİKRONEZYA FEDERAL DEVLETLERİ,"",true,,,,
210,COOK ADALARI,"",true,,,,
211,ANGUİLLA,"",true,,,,
212,MARSHALL ADALARI,"",true,,,,
213,KİRİBATİ,"",true,,,,
214,PALAU,"",true,,,,
215,NAURU,"",true,,,,
216,MONTSERRAT,"",true,,,,
217,TUVALU,"",true,,,,
57,UKRAYNA,"",true,,,,
58,MACARİSTAN,"",true,,,,
59,KATAR,"",true,,,,
60,CEZAYİR,"",true,,,,
61,KUVEYT,"",true,,,,
62,FAS,"",true,,,,
63,SLOVAKYA,"",true,,,,
64,KENYA,"",true,,,,
65,KÜBA,"",true,,,,
66,PORTO RİKO,"",true,,,,
67,EKVADOR,"",true,,,,
68,ETİYOPYA,"",true,,,,
69,DOMİNİK CUMHURİYETİ,"",true,,,,
70,LÜKSEMBURG,"",true,,,,
71,GUATEMALA,"",true,,,,
72,SRİ LANKA,"",true,,,,
73,UMMAN,"",true,,,,
74,BULGARİSTAN,"",true,,,,
75,GANA,"",true,,,,
76,ANGOLA,"",true,,,,
77,TANZANYA,"",true,,,,
78,FİLDİŞİ SAHİLİ,"",true,,,,
79,MYANMAR,"",true,,,,
80,BELARUS,"",true,,,,
81,ÖZBEKİSTAN,"",true,,,,
82,HIRVATİSTAN,"",true,,,,
83,LİTVANYA,"",true,,,,
84,KOSTA RİKA,"",true,,,,
85,SLOVENYA,"",true,,,,
95,UGANDA,"",true,,,,
96,TUNUS,"",true,,,,
97,BAHREYN,"",true,,,,
98,BOLİVYA,"",true,,,,
99,LETONYA,"",true,,,,
100,PARAGUAY,"",true,,,,
101,ESTONYA,"",true,,,,
102,SUDAN,"",true,,,,
103,NEPAL,"",true,,,,
104,MAKAO,"",true,,,,
105,EL SALVADOR,"",true,,,,
106,SENEGAL,"",true,,,,
107,LİBYA,"",true,,,,
108,KIBRIS CUMHURİYETİ,"",true,,,,
109,PAPUA YENİ GİNE,"",true,,,,
110,HONDURAS,"",true,,,,
111,KAMBOÇYA,"",true,,,,
112,ZİMBABVE,"",true,,,,
113,İZLANDA,"",true,,,,
114,ZAMBİYA,"",true,,,,
115,BOSNA-HERSEK,"",true,,,,
116,HAİTİ,"",true,,,,
117,AFGANİSTAN,"",true,,,,
118,BURKİNA FASO,"",true,,,,
119,MALİ,"",true,,,,
120,YEMEN,"",true,,,,
121,LAOS,"",true,,,,
122,LÜBNAN,"",true,,,,
123,GABON,"",true,,,,
124,BENİN,"",true,,,,
125,GÜRCİSTAN,"",true,,,,
126,BOTSVANA,"",true,,,,
127,FİLİSTİN,"",true,,,,
128,ARNAVUTLUK,"",true,,,,
